datetime;make;model;year;engine;mileage;price;fuel_type;new
02/06/2020;Audi;A6;2002;2.5;274.0;2.45;D;false
07/10/2022;Audi;A4;1995;2.5;299.0;900;P;false
8/18/2019;Audi;A3;1999;1.9;300.0;1.4;D;false
8/25/2020;Ford;Mondeo;2000;1.8;322.0;1.2;D;true
01/02/2020;Toyota;Avensis;2008;2.0;187.0;5.99;D;false
02/12/2022;Volkswagen;Caddy;2013;1.6;185.0;7.9;D;false
09/07/2018;Peugeot;Expert;2015;2.0;50.0;19.5;D;true
10/03/2021;Audi;Q7;2007;3.0;292.0;15.2;D;false
7/14/2018;Nissan;X-Trail;2004;2.2;216.0;4.6;D;false
12/01/2019;Audi;Q7;2007;3.0;295.0;13.1;D;true
8/18/2019;-;Nova;2001;0.5;40.0;2;D;true
03/03/2019;Mercedes;V;1998;2.3;379.0;1.9;D;false
9/13/2018;Volkswagen;Golf4;2000;1.9;272.0;2.35;D;true
05/09/2019;Bmw;5;2006;2.5;250.0;5.9;D;true
9/13/2017;Audi;A4;2009;2.0;190.0;9.5;D;false
3/29/2021;Ford;FocusC-Max;2009;1.8;177.0;5.3;D;false
9/27/2018;Mercedes;SLK;1998;2.3;182.0;3.1;P;false
11/13/2019;Volvo;XC60;2013;2.0;64.0;21.912;D;false
5/17/2021;Kia;RIO;2004;1.5;166.0;1.25;P;false
4/14/2020;Volkswagen;Sharan;2005;1.9;290.0;3.9;D;true
02/08/2021;Peugeot;Boxer;1994;1.9;400.0;300;D;true
05/03/2018;Opel;Astra;1993;1.4;325.0;270;P;true
04/03/2021;Volkswagen;Golf6;2010;1.6;230.0;6.5;D;false
7/15/2019;Volkswagen;Caravelle;2011;2.0;198.0;14.9;D;false
3/24/2018;Audi;A4;2009;2.0;256.0;9.09;D;true
3/26/2018;Kia;Sorento;2006;2.5;203.0;5.35;D;true
07/11/2022;Audi;A6;2012;3.0;170.0;24.8;D;true
06/11/2017;Renault;Espace;1999;2.0;290.0;1.6;P;true
12/04/2019;Volvo;XC70;2008;2.4;270.0;7.35;D;true
3/31/2018;Ford;Tourneo;2004;1.8;139.0;3.1;D;false
9/19/2022;Opel;Vectra;1989;2.0;237.0;685;P;false
01/04/2021;Volkswagen;Passat(B5);2002;1.9;135.0;1.05;D;true
4/20/2021;Peugeot;407;2005;2.0;83.0;3.55;P;false
05/03/2022;Toyota;Avensis;2005;2.0;200.0;3.99;P;true
8/19/2022;Renault;Scenic;2007;1.5;170.0;2.77;D;false
6/29/2017;Citroen;C4Picasso;2009;1.6;124.0;4.49;D;true
05/12/2020;Nissan;Patrol;1998;2.8;123.0;2.9;D;false
7/16/2018;Bmw;1;2008;2.0;141.0;7.199;D;true
11/19/2019;Citroen;Xsara;2004;2.0;126.0;1.775;P;false
10/09/2019;Mercedes;ML;2012;3.0;164.0;33.4;D;false
11/23/2017;Ford;Galaxy;2005;1.9;235.0;3.65;D;true
3/13/2020;Kia;Carens;2004;2.0;209.0;2.075;D;true
03/04/2019;Peugeot;307;2006;1.6;210.0;2.87;D;false
03/06/2021;Mercedes;E;2002;2.7;395.0;4.9;D;false
07/01/2018;Chrysler;Voyager;2003;2.5;243.0;2.475;D;false
11/24/2020;Volkswagen;Touareg;2004;4.2;132.0;6.899;P;true
06/08/2018;Mercedes;CLK;1998;2.3;243.0;1.52;P;true
6/30/2018;Audi;A4;2005;3.0;230.0;6.4;D;false
04/09/2022;Bmw;7;2004;3.0;290.0;6.05;D;false
10/29/2020;Audi;Q7;2007;3.0;343.0;12.5;D;false
08/06/2017;D0B2D0B0D0B7;2119;2008;1.6;35.0;999;P;false
6/14/2018;Volkswagen;Touran;2006;1.9;222.0;5;D;true
12/22/2017;Audi;A3;2010;2.0;191.0;9.8;P;false
04/10/2021;Volkswagen;Multivan;2015;2.0;65.0;34.5;D;true
